,zip,x_bar,pop,frequency distribution midpoint
204,1324 ? ?,ochozwei   zweiZEVENquatre,"27,669","sixty-three thousand, five hundred and sixty-three"
205,91325,ZEVEN(SAN**zwei)   SANVV,"32,417","sixty-three thousand, six hundred and seven"
206,91326,ISANquatre   Vquatreocho,"33,708","one hundred and ten thousand, eight hundred and thirty-three"
207,91330,ochoV   quatre(SAN**zwei)V,"2,702",seventy-five thousand
208,91331,V(SAN*zwei)   ocho(SAN**zwei)ZEVEN,"103,689","forty-eight thousand, two hundred and seventy-two"
209,91335,(SAN*zwei)V   (SAN*zwei)(SAN*zwei)V,"74,363","fifty-four thousand, one hundred and forty-nine"
210,91340,quatrezwei   (SAN**zwei)SANzwei,"27,044","thirty-eight thousand, seven hundred and sixty-eight"
211,91342,ZEVENSAN   IV(SAN**zwei),9.1715E4,"sixty-four thousand, four hundred and eighty-three"
212,91343,(SAN*zwei)ZEVEN   ZEROV(SAN**zwei),"60,254","fifty-three thousand, six hundred and forty-six"
213,91344,(SAN**zwei)V   SANI(SAN**zwei),"51,743","seventy-eight thousand, one hundred and sixty-eight"
214,91345,ZEVEN(SAN*zwei)   ochoZEROquatre,"18,496","sixty-three thousand, eight hundred and six"
215,91350,IIquatre   ZEROZEVENquatre,"33,348","one hundred thousand, nine hundred and seventy-six"
216,1351 ? ?,ochoquatre   ZERO(SAN*zwei)zwei,"32,362","seventy-one thousand, seven hundred and seventy-five"
217,91352,V(SAN**zwei)   VZEVENI,"47,807","forty-seven thousand, five hundred and forty-four"
218,91354,IIV   SAN(SAN**zwei)(SAN**zwei),"28,722","one hundred thousand, six hundred and ninety-three"
219,91355,(SAN**zwei)(SAN**zwei)   SANZEROzwei,"32,605","eighty-six thousand, seven hundred and ninety-four"
220,91356,IIZEVEN   ZEROZEROSAN,2.9458E4,"eighty-five thousand, six hundred and twenty-six"
221,91360,IZERO(SAN**zwei)   quatreZEROI,"42,402","ninety-one thousand, one hundred and ninety-one"
222,91361,Iquatreocho   ZEROZEROZEVEN,"20,438","ninety-eight thousand, six hundred and twenty-seven"
223,91362,Iquatrequatre   (SAN**zwei)ZEVENzwei,"36,045","one hundred and fourteen thousand, nine hundred and thirty"
224,91364,IquatreI   I(SAN*zwei)(SAN**zwei),"25,851","one hundred and four thousand, three hundred and five"
225,91367,IZERO(SAN*zwei)   IquatreZEVEN,"39,499","eighty-six thousand, nine hundred and fifty-seven"
226,91371,(SAN**zwei)ocho   (SAN*zwei)zweiZERO,1,"eighty-five thousand, four hundred and fifty-five"
227,91377,IquatreV   ZEVENZEVENZEVEN,"13,811",one hundred and twenty-two thousand and twenty-four
228,1381 ? ?,ISANZEVEN   SANZEVENZEVEN,"20,158","one hundred and eight thousand, nine hundred and ninety-three"
229,91384,ocho(SAN*zwei)   zweiquatreSAN,2.2935E4,"seventy-five thousand, two hundred and thirty-eight"
230,91387,IZEROzwei   IZEVENzwei,"40,328","ninety thousand, three hundred and eighty-one"
231,91390,IzweiV   ochoZEVEN(SAN**zwei),"19,786","one hundred and fifteen thousand, three hundred and thirty-four"
232,91401,(SAN*zwei)quatre   ocho(SAN*zwei)zwei,"39,285","forty-nine thousand, five hundred and fifty-nine"
233,91402,Vzwei   ochoquatrezwei,"69,817","forty-four thousand, four hundred and sixty"
234,91403,IzweiZERO   (SAN*zwei)SAN(SAN*zwei),"23,484","eighty-four thousand, two hundred and ninety-three"
235,91405,VI   ZEVENZERO(SAN**zwei),"51,145","thirty-seven thousand, two hundred and twenty-seven"
236,91406,(SAN*zwei)quatre   zwei(SAN*zwei)zwei,"51,413","forty-nine thousand, nine hundred and fifty-four"
237,91411,(SAN*zwei)I   quatreochoZERO,"24,628","forty-nine thousand, three hundred and eighty-six"
238,91423,IIquatre   (SAN**zwei)SAN(SAN*zwei),3.0991E4,"seventy-five thousand, seven hundred and fifty-nine"
239,91436,I(SAN**zwei)quatre   SANochozwei,"14,372","one hundred and twenty-nine thousand, six hundred and sixteen"
240,1501 ? ?,ZEVENocho   VquatreV,"20,849","fifty-nine thousand, seven hundred and seventy-three"
241,91502,VZEVEN   zweiochoZERO,"11,371","forty-six thousand, one hundred and eleven"
242,91504,ocho(SAN**zwei)   I(SAN*zwei)ocho,"24,939","seventy-two thousand, five hundred and forty-three"
243,91505,ochoSAN   zweiZEVENV,"30,778","sixty-eight thousand, nine hundred and one"
244,91506,ochoV   ZEVENquatreV,"18,904","sixty-nine thousand, seven hundred and sixteen"
245,91601,(SAN*zwei)I   quatrezweiocho,"37,180","forty-seven thousand, nine hundred and eighty-seven"
246,91602,(SAN**zwei)I   SANIV,"17,473","sixty-seven thousand, three hundred and twenty-nine"
247,91604,ISANZEVEN   SANZEROZEVEN,2.9034E4,"ninety-two thousand, six hundred and thirty-two"
248,91605,V(SAN*zwei)   ocho(SAN*zwei)(SAN**zwei),"56,343",forty-six thousand and eighty-seven
249,91606,VSAN   ZERO(SAN**zwei)(SAN**zwei),"44,958","forty-one thousand, three hundred and ninety-two"
250,91607,ZEVENocho   ochoquatreSAN,"27,927","fifty-eight thousand, one hundred and twenty-one"
251,91701,IZEROZERO   Vquatreocho,"38,976","eighty-nine thousand, three hundred and five"
252,1702 ? ?,(SAN*zwei)quatre   SAN(SAN**zwei)ZERO,"59,705","fifty-five thousand, nine hundred and forty-two"
253,91706,(SAN*zwei)I   (SAN*zwei)ISAN,"76,571","fifty-one thousand, four hundred and thirty-four"
254,91708,IIzwei   (SAN*zwei)IZERO,"3,369","one hundred and nine thousand, seven hundred and thirty-three"
255,91709,IIV   quatre(SAN**zwei)quatre,"74,796",one hundred and three thousand and twenty-five
256,91710,ochozwei   VIZEVEN,8.0358E4,"seventy-four thousand, two hundred and forty"
257,91711,IZEROZEVEN   SANzweiZERO,"35,705","eighty-eight thousand, one hundred and forty-three"
258,91722,ZEVENSAN   ZEVEN(SAN*zwei)quatre,"34,409","sixty-eight thousand, three hundred and twenty-four"
259,91723,(SAN*zwei)ZEVEN   ZEVENquatre(SAN**zwei),"18,275","fifty-five thousand, six hundred and seventy-nine"
260,91724,ochoSAN   ochoSANI,"26,184","seventy-three thousand, eight hundred and six"
261,91730,ZEVEN(SAN*zwei)   quatrezweiV,"66,925","sixty-seven thousand, four hundred and fifty-eight"
262,91731,VSAN   quatreochozwei,"29,591","forty-three thousand, nine hundred and twenty-five"
263,91732,VV   VZEVENSAN,"61,386","forty-four thousand, nine hundred and thirty-four"
264,1733 ? ?,Vzwei   (SAN*zwei)ZEROV,"43,896","forty-four thousand, three hundred and forty-four"
