,zip,x_bar,pop,frequency distribution midpoint
791,93526,Vocho   quatre(SAN**zwei)quatre,719,"fifty-six thousand, six hundred and forty-five"
792,3527 ? ?,ZEVENV   ZEROSANI,"2,387","fifty-five thousand, four hundred and sixty"
793,93528,quatreSAN   (SAN**zwei)IV,172,"thirty-four thousand, three hundred and thirty-nine"
794,93529,ZEVENquatre   ochoZEVEN(SAN**zwei),633,"seventy-three thousand, five hundred and forty-five"
795,93530,VZERO   (SAN**zwei)ocho(SAN**zwei),47,"thirty-eight thousand, nine hundred and eighty-three"
796,93531,(SAN**zwei)V   I(SAN*zwei)quatre,509 foo,"seventy-three thousand, eight hundred and eleven"
797,93532,(SAN**zwei)zwei   ZEROIZEVEN,"2,932","eighty-three thousand, two hundred and twenty-nine"
798,93534,VI   Iquatre(SAN*zwei),"39,341","forty-one thousand, one hundred and forty"
799,93535,Vquatre   zweiquatreV,"71,877","forty-six thousand, four hundred and six"
800,93536,(SAN*zwei)ZERO   quatreochoSAN,"52,186","fifty thousand, nine hundred and ninety-three"
801,93541,quatreocho   quatrequatrezwei,449,forty-one thousand and fifty
802,93543,(SAN*zwei)I   ZEVENZEROZEVEN,"13,033","fifty-four thousand, two hundred and twenty-eight"
803,93544,ZEVEN(SAN**zwei)   zwei(SAN**zwei)ZERO,"1,259","fifty-three thousand, one hundred and one"
804,3545 ? ?,VI   ZEROZEROSAN,"2,082",thirty-nine thousand and seventeen
805,93546,ZEVENZERO   V(SAN*zwei)(SAN**zwei),"9,567 foo","fifty-seven thousand, two hundred and fifty-four"
806,93549,VZERO   (SAN**zwei)ocho(SAN**zwei),344,"thirty-eight thousand, nine hundred and eighty-three"
807,93550,VSAN   VIocho,"74,929","forty-four thousand, eight hundred and sixty-six"
808,93551,(SAN**zwei)quatre   ZEVEN(SAN*zwei)ZEVEN,"50,798","eighty-one thousand, nine hundred and thirteen"
809,93552,(SAN*zwei)(SAN**zwei)   IISAN,"38,158","fifty-nine thousand, two hundred and eighty-six"
810,93553,ZEVENocho   (SAN*zwei)ZEVEN(SAN**zwei),"2,138","fifty-three thousand, five hundred and nineteen"
811,93554,quatreSAN   (SAN**zwei)IV,72,"thirty-four thousand, three hundred and thirty-nine"
812,93555,(SAN*zwei)ZEVEN   ZEVENquatrequatre,"32,560","fifty-six thousand, six hundred and forty-six"
813,93558,VZERO   quatreZEROquatre,125,"forty thousand, seven hundred"
814,93560,(SAN*zwei)zwei   ocho(SAN**zwei)ZERO,1.8910E4,"fifty-two thousand, six hundred and seventy-nine"
815,93561,Vzwei   zweiZEROZERO,"23,144","thirty-nine thousand, nine hundred and eighty"
816,3562 ? ?,VZERO   quatreZEROquatre,"1,818","forty thousand, seven hundred"
817,93563,ochoSAN   ochoSANSAN,388,"sixty-eight thousand, five hundred"
818,93591,V(SAN**zwei)   (SAN*zwei)(SAN**zwei)quatre,"7,285",forty-seven thousand and forty-seven
819,93592,VZERO   (SAN**zwei)ocho(SAN**zwei),64,"thirty-eight thousand, nine hundred and eighty-three"
820,93601,(SAN*zwei)quatre   zwei(SAN*zwei)ZERO,"1,909","forty-five thousand, nine hundred and twenty"
821,93602,ochozwei   ochoSANV,"3,862","seventy thousand, three hundred and fifty-eight"
822,93603,ZEVENV   ZEROochoquatre,222,"fifty-seven thousand, eight hundred and seventy-nine"
823,93604,(SAN*zwei)ZERO   SAN(SAN*zwei)V,674 foo,"forty-seven thousand, four hundred and seventy-eight"
824,93605,ochoSAN   quatreZEVENocho,175,"sixty thousand, nine hundred and nine"
825,93606,Vzwei   IV(SAN**zwei),"1,217","thirty-seven thousand, three hundred and four"
826,93608,SANzwei   (SAN*zwei)V(SAN**zwei),"1,105","twenty-five thousand, three hundred and sixty-nine"
827,93609,VV   IZEROZEVEN,"5,640","forty-three thousand, seven hundred and thirty-seven"
828,3610 ? ?,VV   (SAN**zwei)SANquatre,"23,833","forty thousand, six hundred and fifty-eight"
829,93611,ochoZEVEN   SAN(SAN*zwei)I,"45,614","eighty thousand, six hundred and one"
830,93612,Vzwei   SANquatreocho,"35,351","forty-four thousand, one hundred and sixty-eight"
831,93614,ZEVEN(SAN*zwei)   zwei(SAN**zwei)I,"11,661","fifty-eight thousand, four hundred and nine"
832,93615,quatreI   ZEROZERO(SAN*zwei),"6,042 foo","thirty thousand, four hundred and eighty-five"
833,93616,V(SAN**zwei)   ZEVENocho(SAN*zwei),"2,627","forty-seven thousand, four hundred and seventy-one"
834,93618,VSAN   (SAN*zwei)SAN(SAN*zwei),"28,262","forty thousand, eight hundred and sixty-two"
835,93619,IIV   SANVquatre,"28,965","ninety-nine thousand, four hundred and ninety-one"
836,93620,quatreV   VVI,"9,591","thirty-six thousand, three hundred and twenty"
837,93621,VZEVEN   ZEVEN(SAN**zwei)(SAN*zwei),464,"fifty-five thousand, five hundred and forty-one"
838,93622,SANocho   ochoZEVENquatre,"9,581","thirty thousand, five hundred and fifty-six"
839,93623,ZEVENocho   I(SAN**zwei)I,69,sixty-three thousand and forty-four
840,3624 ? ?,zwei(SAN*zwei)   quatrequatreZEVEN,"1,036","twenty thousand, six hundred and seventy-four"
841,93625,(SAN*zwei)ZERO   ISANzwei,"7,313 foo","fifty-two thousand, nine hundred and thirty-nine"
842,93626,(SAN**zwei)ZEVEN   zweiZEROI,"1,359","seventy-two thousand, three hundred and ninety-two"
843,93627,quatreI   VSANZEVEN,123,"thirty-one thousand, two hundred and ninety-eight"
844,93628,VZEVEN   ZEVEN(SAN**zwei)(SAN*zwei),327,"fifty-five thousand, five hundred and forty-one"
845,93630,(SAN*zwei)I   SANZEVENSAN,"19,162",forty-seven thousand and fifty-five
846,93631,(SAN*zwei)ZEVEN   ochoV(SAN**zwei),"15,941","fifty-three thousand, four hundred and ninety"
847,93633,ZEVENV   ZEROochoquatre,25,"fifty-seven thousand, eight hundred and seventy-nine"
848,93634,ochoSAN   quatreZEVENocho,33,"sixty thousand, nine hundred and nine"
849,93635,(SAN*zwei)SAN   SANocho(SAN**zwei),"38,776","fifty-three thousand, five hundred and eighty-seven"
850,93636,ochoZERO   ZEROI(SAN**zwei),1.1908E4,"sixty-five thousand, one hundred and twenty-three"
851,93637,(SAN*zwei)ZERO   quatreIzwei,"37,743","forty-eight thousand, seven hundred and seventy-six"
852,3638 ? ?,Vzwei   ZEROSANquatre,"49,068",forty thousand and ninety-six
853,93640,SANzwei   zweiISAN,"11,880",twenty-five thousand and seventy-eight
854,93641,VZEVEN   ZEVEN(SAN**zwei)(SAN*zwei),595,"fifty-five thousand, five hundred and forty-one"
855,93643,V(SAN**zwei)   (SAN*zwei)(SAN*zwei)ZERO,"3,171",forty-eight thousand and twenty-five
856,93644,(SAN*zwei)SAN   zweiochoZERO,"8,637","forty-three thousand, three hundred and ninety-eight"
857,93645,(SAN*zwei)zwei   zweiZEROSAN,318,"forty-four thousand, two hundred and seventy-nine"
858,93646,SANV   SANZEROZEVEN,"10,557","twenty-six thousand, one hundred and sixty-one"
859,93647,quatrequatre   ochoVZEVEN,1.1874E4,"thirty-two thousand, nine hundred and sixty-one"
860,93648,quatre(SAN**zwei)   SANZEVENI,"15,719","thirty-five thousand, nine hundred and two"
861,93650,VI   quatre(SAN**zwei)ZEVEN,"4,055","forty-four thousand, two hundred and fifty-nine"
862,93651,(SAN**zwei)ZERO   ZERO(SAN**zwei)(SAN*zwei),"1,674","seventy-eight thousand, three hundred and twenty-seven"
863,93652,VI   ZEVENochoocho,415,"thirty-eight thousand, two hundred and eighty-one"
864,3653 ? ?,(SAN*zwei)I   zwei(SAN*zwei)SAN,"1,229","forty-seven thousand, five hundred and ninety-three"
865,93654,Vocho   ocho(SAN**zwei)ZERO,"29,776","forty-eight thousand, nine hundred and fifty-two"
866,93656,VZERO   (SAN**zwei)VZEVEN,"6,313","forty-three thousand, four hundred and seventy"
867,93657,(SAN*zwei)zwei   quatreVZEVEN,"34,999","fifty-one thousand, eight hundred and seventy-seven"
868,93660,SANV   zweiSANV,"4,675 foo",twenty-seven thousand and thirty
869,93662,Vquatre   quatreochoquatre,"30,237","forty-three thousand, nine hundred and thirty-eight"
870,93664,ochoSAN   quatreZEVENocho,585,"sixty thousand, nine hundred and nine"
871,93665,quatreSAN   ZERO(SAN**zwei)zwei,472,"thirty-four thousand, seven hundred and eighty-eight"
872,93666,ochoZEVEN   (SAN**zwei)(SAN**zwei)V,692,"fifty-one thousand, five hundred and twenty-eight"
873,93667,(SAN**zwei)ZERO   VochoZERO,"2,604","seventy-three thousand, six hundred and sixty-one"
874,93668,SANquatre   (SAN**zwei)ZEVENocho,"1,118","twenty-six thousand, eight hundred and twenty-nine"
875,93669,V(SAN**zwei)   Iquatre(SAN*zwei),295,"forty-eight thousand, seven hundred and eighty-three"
876,3673 ? ?,quatrezwei   ochoZERO(SAN**zwei),713,"thirty-six thousand, three hundred and sixty-four"
877,93675,VZEVEN   ZEVEN(SAN**zwei)(SAN*zwei),"3,721 foo","fifty-five thousand, five hundred and forty-one"
878,93701,SANzwei   quatre(SAN*zwei)(SAN*zwei),"12,529","twenty-four thousand, five hundred and ninety-six"
879,93702,SANZEVEN   quatreVSAN,"48,607","twenty-nine thousand, six hundred and sixty-three"
880,93703,SANocho   SANVI,"31,868","thirty-one thousand, seven hundred and thirty"
881,93704,(SAN*zwei)quatre   ochoZERO(SAN*zwei),"27,156","fifty thousand, five hundred and eight"
882,93705,quatrequatre   ZEROZEVENquatre,"36,703","thirty-five thousand, five hundred and fifty-one"
883,93706,SAN(SAN**zwei)   SANIquatre,"41,087","twenty-nine thousand, seven hundred and thirty-six"
884,93710,VZERO   ochoV(SAN*zwei),"25,366","forty-one thousand, two hundred and sixty-six"
885,93711,(SAN**zwei)ZEVEN   IquatreV,"36,731",seventy-three thousand and thirty-eight
886,93720,(SAN**zwei)ocho   quatrequatreSAN,4.5191E4,"eighty-one thousand, six hundred and forty-five"
887,93721,zweiZERO   I(SAN**zwei)SAN,"4,099","fourteen thousand, nine hundred and forty-three"
888,3722 ? ?,(SAN*zwei)ZEVEN   SANZEVENI,"76,448","fifty-seven thousand, two hundred and sixteen"
889,93723,(SAN*zwei)V   ZEVENquatreSAN,"9,547","fifty thousand, two hundred and ninety-nine"
890,93725,VZERO   SAN(SAN**zwei)zwei,"24,979","forty thousand, nine hundred and twenty-nine"
891,93726,quatreZEVEN   (SAN*zwei)VSAN,"40,705","thirty-seven thousand, one hundred and nineteen"
892,93727,Vocho   VochoZEVEN,"71,820","forty-seven thousand, one hundred and twenty-six"
893,93728,quatreI   ZEROIV,"15,743","thirty-one thousand, five hundred and sixty-five"
894,93730,Izwei(SAN*zwei)   zwei(SAN**zwei)ZEVEN,"9,941","ninety thousand, six hundred and sixty-three"
895,93901,(SAN*zwei)ocho   quatreochoI,2.6863E4,"fifty-two thousand, eight hundred and sixty-two"
896,93905,VI   IquatreSAN,"61,080","forty thousand, one hundred and fifty-two"
897,93906,ZEVENI   zweizweiV,"59,461","sixty-one thousand, nine hundred and three"
898,93907,ochoSAN   (SAN**zwei)I(SAN**zwei),"21,726",seventy-four thousand and sixty-three
899,93908,ISAN(SAN*zwei)   SANVzwei,"13,043","one hundred and thirteen thousand, nine hundred and thirty-two"
900,3920 ? ?,ISANSAN   quatreSANSAN,"1,369",seventy-three thousand and forty
901,93921,IzweiI   quatrequatrequatre,"3,281","seventy-four thousand, eight hundred and forty-two"
902,93923,Izweiquatre   zwei(SAN*zwei)ZERO,"11,502","eighty-one thousand, three hundred and sixty-six"
903,93924,Iocho   ochozweiZEVEN,917,"twelve thousand, seven hundred and forty-three"
904,93925,ZEVENZEVEN   (SAN*zwei)quatreocho,"1,671 foo","sixty-one thousand, nine hundred and six"
905,93926,(SAN*zwei)V   SANZEVENocho,"8,726","fifty-one thousand, six hundred and thirty-eight"
906,93927,(SAN*zwei)SAN   ocho(SAN*zwei)(SAN*zwei),"17,547","fifty-two thousand, three hundred and forty-four"
907,93928,ochoZERO   ZEROSANZERO,506,"sixty-eight thousand, five hundred and fifty-three"
908,93930,(SAN*zwei)SAN   quatre(SAN*zwei)(SAN*zwei),"15,866","fifty-three thousand, one hundred and seventy-five"
909,93932,ochoZERO   ZEROSANZERO,592,"sixty-eight thousand, five hundred and fifty-three"
910,93933,VV   ZERO(SAN*zwei)(SAN**zwei),"19,084","forty-four thousand, seven hundred and sixty-one"
911,93940,ochoV   (SAN*zwei)Vquatre,"31,615","seventy thousand, seven hundred and nine"
912,3943 ? ?,ZEVEN(SAN*zwei)   (SAN*zwei)ZEVENI,6,"fifty-eight thousand, two hundred and forty-six"
913,93950,ocho(SAN**zwei)   (SAN*zwei)ZEVENquatre,1.5046E4,"sixty-six thousand, eight hundred and sixty-four"
914,93953,IZEVENquatre   ZEVENSAN(SAN*zwei),"4,509","one hundred and five thousand, seven hundred and thirty-one"
915,93954,(SAN*zwei)quatre   IochoSAN,302,"fifty-two thousand, six hundred and thirty-nine"
916,93955,(SAN*zwei)quatre   IVquatre,"32,382","fifty-six thousand, eight hundred and sixty-nine"
917,93960,SANocho   (SAN**zwei)(SAN**zwei)ocho,"16,971","thirty-three thousand, one hundred and ninety-seven"
918,93962,ZEVENZEVEN   quatreVI,673,"fifty-nine thousand, nine hundred and seventy-one"
